,ID,Player Name,Drafting Team,Franchise current name,NBA profile,College / High School,Age at Draft,League before Draft,Draft Year,Pick Number,Position,Height,Weight,Nationality,Continent,Birthdate,GP,GS,MPG,PPG,FGA,FGM,FG%,3PM,3PA,3P%,FTM,FTA,FT%,RPG,APG,SPG,BPG,TOPG,PO GP,PO MPG,PO PPG,PO FGM,PO FGA,PO FG%,PO 3PM,PO 3PA,PO 3P%,PO FTM,PO FTA,PO FT%,PO RPG,PO APG,PO SPG,PO BPG,PO TOPG,All-Star Games,CO GP,CO MPG,CO PPG,CO FG%,CO 3P%,CO FT%,CO RPG,CO APG,CO SPG,CO BPG,CO TOPG,MVP Awards,All-NBA Selections,All-Defensive Selections,Finals MVP Awards,Hall of Fame Inductee,Reason no stats
10,11,Jimmy Collins,Chicago Bulls,Chicago Bulls,/stats/player/76419/,New Mexico State,23.6,College,1970,11,Guard,1.88,79.0,USA,USA,1946-11-24,74.0,,8.3,3.8,1.6,3.9,41.4,,,,0.6,0.8,80.4,0.9,0.9,,,,2.0,4.0,1.5,0.0,0.5,0.0,,,,1.5,1.5,100.0,0.5,0.0,,,,0.0,31.0,,24.6,51.3,,80.4,4.6,2.9,,,,0,0,0,0,0,
11,12,Al Henry,Philadelphia 76ers,Philadelphia 76ers,/stats/player/77000/,Wisconsin,21.4,College,1970,12,Center,2.05,86.0,USA,USA,1949-02-09,49.0,,9.1,4.0,1.4,3.3,42.6,,,,1.1,1.6,70.0,3.0,0.2,,,,0.0,,,,,,,,,,,,,,,,,0.0,24.0,,15.0,47.4,,69.5,11.0,,,,,0,0,0,0,0,Too many results
12,13,Jim McMillian,Los Angeles Lakers,Los Angeles Lakers,/stats/player/77554/,Columbia,22.3,College,1970,13,Forward,1.96,86.0,USA,USA,1948-03-11,631.0,,32.1,13.8,5.8,12.0,48.2,,,,2.3,2.8,83.2,5.3,2.5,1.1,0.2,1.2,72.0,37.8,16.6,6.9,15.3,45.1,,,,2.8,3.5,79.1,5.2,1.9,1.3,0.3,1.2,0.0,25.0,,25.7,51.3,,74.5,9.7,,,,,0,0,0,0,0,
13,14,John Vallely,Atlanta Hawks,Atlanta Hawks,/stats/player/78397/,California-Los Angeles,21.8,College,1970,14,Guard,1.90,86.0,USA,USA,1948-10-03,100.0,,8.0,3.6,1.4,3.8,37.9,,,,0.8,1.0,72.1,0.7,0.8,,,,0.0,,,,,,,,,,,,,,,,,0.0,30.0,,16.3,48.6,,72.1,3.7,,,,,0,0,0,0,0,
14,15,John Hummer,Buffalo Braves,Los Angeles Clippers,/stats/player/77080/,Princeton,22.2,College,1970,15,Forward,2.05,104.0,USA,USA,1948-05-04,327.0,,22.7,6.9,2.7,6.1,43.8,,,,1.5,2.9,52.4,5.3,1.7,0.3,0.3,,9.0,9.3,0.4,0.2,1.1,20.0,,,,0.0,0.0,0.0,1.1,0.4,0.2,0.0,,0.0,25.0,,17.5,49.2,,64.1,9.5,,,,,0,0,0,0,0,
15,16,Gary Freeman,Milwaukee Bucks,Milwaukee Bucks,/stats/player/76755/,Oregon State,21.9,College,1970,16,Forward,2.05,95.0,USA,USA,1948-07-25,52.0,,7.3,3.2,1.3,2.6,51.5,,,,0.6,0.8,72.5,2.0,0.7,,,,0.0,,,,,,,,,,,,,,,,,0.0,20.0,,14.6,52.7,,80.8,9.0,,,,,0,0,0,0,0,
16,17,Mike Price,New York Knicks,New York Knicks,/stats/player/77884/,Illinois,21.8,College,1970,17,Guard,1.90,91.0,USA,USA,1948-09-11,119.0,,8.8,3.3,1.3,3.3,40.4,,,,0.6,0.8,77.2,1.3,0.7,,,,8.0,3.3,1.5,0.5,1.4,36.4,,,,0.5,0.8,66.7,0.6,0.6,,,,0.0,24.0,,14.9,44.9,,82.4,9.2,,,,,0,0,0,0,0,
17,18,Calvin Murphy,San Diego Rockets,Houston Rockets,/stats/player/77669/,Niagara,22.2,College,1970,18,Guard,1.76,75.0,USA,USA,1948-05-09,1002.0,0.0,30.5,17.9,7.2,15.0,48.2,0.0,,,3.4,3.9,89.2,2.1,4.4,1.5,0.1,1.9,51.0,32.5,18.5,7.6,16.0,47.5,0.1,,,3.2,3.5,93.2,1.5,4.2,1.5,0.1,2.1,1.0,29.0,,29.4,45.7,,88.1,3.6,,,,,0,0,0,0,1,
18,19,Nate Archibald,Cincinnati Royals,Sacramento Kings,/stats/player/76054/,Texas-El Paso,21.8,College,1970,19,Guard,1.85,73.0,USA,USA,1948-09-02,876.0,758.0,35.6,18.8,6.7,14.4,46.7,0.0,,,5.3,6.6,81.0,2.3,7.4,1.1,0.1,2.7,47.0,32.0,14.2,5.0,11.8,42.3,0.0,,,4.1,5.0,82.6,1.6,6.5,0.7,0.0,3.0,6.0,25.0,,21.4,51.3,,78.2,2.6,,,,,0,5,0,0,1,
19,20,Jake Ford,Seattle SuperSonics,Oklahoma City Thunder,/stats/player/76735/,Maryland,24.2,College,1970,20,Guard,1.93,84.0,USA,USA,1946-04-29,31.0,,8.0,4.1,1.4,2.9,46.2,,,,1.4,1.8,76.4,0.6,1.1,,,,0.0,,,,,,,,,,,,,,,,,0.0,25.0,,20.4,55.6,,88.7,8.3,,,,,0,0,0,0,0,
20,21,Rex Morgan,Boston Celtics,Boston Celtics,/stats/player/77641/,Jacksonville,21.7,College,1970,21,Guard,1.96,86.0,USA,USA,1948-10-27,62.0,,6.7,2.8,0.9,2.5,37.5,,,,0.9,1.4,68.2,1.5,0.6,,,,4.0,2.5,0.8,0.3,1.8,14.3,,,,0.3,0.8,33.3,1.3,0.0,,,,0.0,28.0,,18.2,51.0,,73.2,6.4,,,,,0,0,0,0,0,
21,22,Doug Cook,Cincinnati Royals,Sacramento Kings,https://www.thedraftreview.com/index.php?option=com_content&view=article&id=729:doug-cook&catid=68&Itemid=342,Davidson,,College,1970,22,Forward,1.98,100.0,USA,USA,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,27.0,,15.6,50.0,,63.0,10.2,2.0,,,,0,0,0,0,0,
22,23,Pete Cross,Seattle SuperSonics,Oklahoma City Thunder,/stats/player/76477/,San Francisco,22.3,College,1970,23,Center,2.05,104.0,USA,USA,1948-03-28,182.0,,20.7,5.8,2.2,5.1,43.1,,,,1.4,2.0,69.5,8.3,1.0,,,,0.0,,,,,,,,,,,,,,,,,0.0,26.0,,21.3,46.8,,75.1,18.0,,,,,0,0,0,0,0,
23,24,Cornell Warner,Buffalo Braves,Los Angeles Clippers,/stats/player/78460/,Jackson State,21.9,College,1970,24,Forward,2.05,100.0,USA,USA,1948-08-12,445.0,,23.6,6.4,2.7,5.9,45.2,,,,1.1,1.6,67.2,7.5,1.1,0.5,0.6,,21.0,26.7,5.8,2.6,5.9,43.9,,,,0.6,0.9,68.4,8.2,1.2,0.4,0.7,,0.0,31.0,,23.0,52.0,,64.0,21.6,,,,,0,0,0,0,0,
24,25,Walt Gilmore,Portland Trail Blazers,Portland Trail Blazers,/stats/player/76817/,Fort Valley State,23.4,College,1970,25,Forward,1.98,102.0,USA,USA,1947-02-27,27.0,,9.7,2.1,0.9,2.0,42.6,,,,0.4,1.0,46.2,2.7,0.4,,,,0.0,,,,,,,,,,,,,,,,,0.0,21.0,,23.2,73.9,,61.8,15.2,,,,,0,0,0,0,0,
25,26,Dave Sorenson,Cleveland Cavaliers,Cleveland Cavaliers,/stats/player/78220/,Ohio State,22.0,College,1970,26,Forward,2.03,102.0,USA,USA,1948-07-08,213.0,,18.1,8.1,3.2,7.3,44.2,,,,1.7,2.1,77.8,4.7,1.3,,,,0.0,,,,,,,,,,,,,,,,,0.0,24.0,,24.2,55.3,,83.3,9.0,,,,,0,0,0,0,0,
26,27,Fred Taylor,Phoenix Suns,Phoenix Suns,/stats/player/78298/,Texas-Pan American,22.4,College,1970,27,Guard,1.96,82.0,USA,USA,1948-02-05,88.0,,9.5,4.4,1.7,4.6,36.4,,,,1.1,1.8,59.2,1.6,0.8,,,,0.0,,,,,,,,,,,,,,,,,0.0,24.0,,27.9,45.6,,71.1,11.3,2.6,,,,0,0,0,0,0,
27,28,Paul Ruffner,Chicago Bulls,Chicago Bulls,/stats/player/78039/,Brigham Young,21.7,College,1970,28,Center,2.08,102.0,USA,USA,1948-10-15,52.0,,4.1,2.1,0.9,2.1,44.0,,,,0.3,0.5,50.0,0.9,0.2,0.1,0.1,,2.0,3.5,0.0,0.0,3.0,0.0,,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,26.0,,17.7,47.6,,69.1,9.8,,,,,0,0,0,0,0,
28,29,Joe DePre,Phoenix Suns,Phoenix Suns,https://www.thedraftreview.com/index.php?option=com_content&view=article&id=760:joe-depre&catid=68&Itemid=342,St. John's (NY),22.5,College,1970,29,Guard,1.90,84.0,USA,USA,1947-12-19,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,29.0,,16.5,48.2,,80.6,5.7,,,,,0,0,0,0,0,
29,30,Ernie Killum,Los Angeles Lakers,Los Angeles Lakers,/stats/player/77257/,Stetson,22.1,College,1970,30,Guard,1.90,82.0,USA,USA,1948-06-11,4.0,,3.0,0.3,0.0,1.0,0.0,,,,0.3,0.3,100.0,0.5,0.0,,,,2.0,2.0,2.0,0.5,0.5,100.0,,,,1.0,1.5,66.7,0.0,0.0,,,,0.0,29.0,,25.6,50.7,,79.3,5.5,,,,,0,0,0,0,0,Incorrect name
30,31,Dan Hester,Atlanta Hawks,Atlanta Hawks,https://www.thedraftreview.com/index.php?option=com_content&view=article&id=770:dan-hester&catid=68&Itemid=342,Louisiana State,21.7,College,1970,31,Forward,2.03,95.0,USA,USA,1948-11-08,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,32.0,,16.1,51.9,,82.6,10.8,,,,,0,0,0,0,0,
31,32,Ken Warzynski,Detroit Pistons,Detroit Pistons,https://www.thedraftreview.com/index.php?option=com_content&view=article&id=772:ken-warzynski&catid=68&Itemid=342,DePaul,22.0,College,1970,32,Forward,2.00,97.0,USA,USA,1948-06-30,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,25.0,,19.6,47.0,,67.0,15.0,,,,,0,0,0,0,0,
32,33,Bill Zopf,Milwaukee Bucks,Milwaukee Bucks,/stats/player/78648/,Duquesne,22.1,College,1970,33,Guard,1.85,77.0,USA,USA,1948-06-07,53.0,,7.5,2.2,0.9,2.5,36.3,,,,0.4,0.7,55.6,0.9,1.4,,,,0.0,,,,,,,,,,,,,,,,,0.0,24.0,,13.3,48.3,,81.1,4.3,,,,,0,0,0,0,0,
33,34,Howie Wright,New York Knicks,New York Knicks,https://www.thedraftreview.com/index.php?option=com_content&view=article&id=780:howie-wright&catid=68&Itemid=342,Austin Peay,23.4,College,1970,34,Guard,1.90,84.0,USA,USA,1947-02-22,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,25.0,,26.5,44.8,,79.4,7.7,,,,,0,0,0,0,0,
34,35,Curtis Perry,San Diego Rockets,Houston Rockets,/stats/player/77835/,Missouri State,21.8,College,1970,35,Forward,2.00,100.0,USA,USA,1948-09-13,480.0,,28.5,9.5,4.0,8.7,45.5,,,,1.6,2.3,69.9,8.8,1.9,1.2,0.9,1.4,52.0,29.7,9.6,4.1,8.7,47.0,,,,1.4,2.1,66.1,8.4,1.4,0.6,0.5,,0.0,28.0,,24.4,49.5,,62.8,17.1,,,,,0,0,0,0,0,
35,36,Earle Higgins,San Francisco Warriors,Golden State Warriors,https://www.thedraftreview.com/index.php?option=com_content&view=article&id=5418:earle-higgins&catid=68&Itemid=342,Eastern Michigan,23.5,College,1970,36,Forward,2.03,88.0,USA,USA,1946-12-30,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,20.0,,17.2,49.5,,67.5,8.1,2.6,,,,0,0,0,0,0,
36,37,Bob St. Pierre,Detroit Pistons,Detroit Pistons,https://www.thedraftreview.com/index.php?option=com_content&view=article&id=5403,Hanover,21.7,College,1970,37,Center,1.98,84.0,USA,USA,1948-10-24,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,27.0,,19.6,,,,9.6,,,,,0,0,0,0,0,Incorrect name
37,38,Willie Williams,Boston Celtics,Boston Celtics,/stats/player/78574/,Florida State,23.9,College,1970,38,Forward,2.00,91.0,USA,USA,1946-07-28,25.0,,4.2,0.9,0.4,1.7,23.8,,,,0.1,0.2,60.0,0.9,0.3,,,,0.0,,,,,,,,,,,,,,,,,0.0,26.0,,16.9,63.6,,64.0,11.0,0.7,,,,0,0,0,0,0,
38,39,Greg Hyder,Cincinnati Royals,Sacramento Kings,/stats/player/77091/,Eastern New Mexico,22.0,College,1970,39,Forward,1.98,100.0,USA,USA,1948-06-21,77.0,,17.6,5.4,2.4,5.3,44.7,,,,0.7,0.9,71.8,4.3,0.6,,,,0.0,,,,,,,,,,,,,,,,,0.0,31.0,,22.9,55.6,,,12.7,,,,,0,0,0,0,0,
39,40,Garfield Heard,Seattle SuperSonics,Oklahoma City Thunder,/stats/player/76985/,Oklahoma,22.2,College,1970,40,Forward,1.98,99.0,USA,USA,1948-05-03,787.0,,24.9,8.7,3.6,8.7,41.4,0.0,,,1.4,2.2,65.4,7.5,1.6,1.3,1.3,1.2,59.0,30.9,10.2,4.2,10.0,41.9,0.0,,,1.8,2.8,65.1,9.1,1.6,1.4,1.7,1.2,0.0,27.0,,21.7,48.2,,67.4,12.5,,,,,0,0,0,0,0,
40,41,Surry Oliver,Cleveland Cavaliers,Cleveland Cavaliers,https://www.thedraftreview.com/index.php?option=com_content&view=article&id=5415:surry-oliver&catid=68&Itemid=342,Stephen F. Austin,,College,1970,41,Forward,2.00,88.0,USA,USA,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,30.0,,14.3,54.4,,73.9,7.2,,,,,0,0,0,0,0,
41,42,Bill Cain,Portland Trail Blazers,Portland Trail Blazers,https://www.thedraftreview.com/index.php?option=com_content&view=article&id=5427:bill-cain&catid=68&Itemid=342,Iowa State,,College,1970,42,Forward,1.98,95.0,USA,USA,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,26.0,,19.8,45.7,,73.1,15.2,,,,,0,0,0,0,0,
42,43,Chip Case,Buffalo Braves,Los Angeles Clippers,https://www.thedraftreview.com/index.php?option=com_content&view=article&id=5409:chip-case&catid=68&Itemid=342,Virginia,,College,1970,43,Guard,1.93,82.0,USA,USA,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,23.0,,16.5,42.9,,76.7,5.3,2.8,,,,0,0,0,0,0,
43,44,Greg McDivitt,Phoenix Suns,Phoenix Suns,https://www.thedraftreview.com/index.php?option=com_content&view=article&id=5422:greg-mcdivitt&catid=68&Itemid=342,Ohio,,College,1970,44,Forward,1.98,,USA,USA,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,25.0,,14.7,42.8,,72.1,9.0,,,,,0,0,0,0,0,
44,45,Lou Herndon,Chicago Bulls,Chicago Bulls,https://www.thedraftreview.com/index.php?option=com_content&view=article&id=5405:lou-herndon&catid=68&Itemid=342,Jackson State,,College,1970,45,Guard,1.93,84.0,USA,USA,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,31.0,,19.0,47.8,,71.5,5.9,,,,,0,0,0,0,0,
45,46,Dennis Awtrey,Philadelphia 76ers,Philadelphia 76ers,/stats/player/76078/,Santa Clara,22.4,College,1970,46,Center,2.08,111.0,USA,USA,1948-02-22,733.0,228.0,19.3,4.8,1.9,4.1,45.9,0.0,,,1.0,1.6,65.2,4.6,2.0,0.4,0.3,1.1,61.0,16.9,3.9,1.5,2.9,51.4,,,,0.9,1.5,58.5,4.1,1.4,0.4,0.3,0.6,0.0,29.0,,21.2,59.0,,72.0,14.1,,,,,0,0,0,0,0,
46,47,Jim Hayes,Detroit Pistons,Detroit Pistons,https://www.thedraftreview.com/index.php?option=com_content&view=article&id=5410:jim-hayes&catid=68&Itemid=342,Boston University,22.4,College,1970,47,Guard,1.90,91.0,USA,USA,1948-02-18,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,21.0,,23.7,54.3,,72.2,7.3,,,,,0,0,0,0,0,
47,48,Vann Williford,Phoenix Suns,Phoenix Suns,https://www.thedraftreview.com/index.php?option=com_content&view=article&id=5421:vann-williford&catid=68&Itemid=342,North Carolina State,22.4,College,1970,48,Forward,1.98,88.0,USA,USA,1948-01-26,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,30.0,,23.7,50.0,,80.0,10.0,,,,,0,0,0,0,0,
48,49,Seaburn Hill,Baltimore Bullets,Washington Wizards,https://www.thedraftreview.com/index.php?option=com_content&view=article&id=5428,Arizona State,,College,1970,49,Guard,1.90,91.0,USA,USA,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,26.0,,22.8,41.4,,73.5,3.2,,,,,0,0,0,0,0,Incorrect name
49,50,Marv Winkler,Milwaukee Bucks,Milwaukee Bucks,/stats/player/78597/,Louisiana-Lafayette,22.4,College,1970,50,Guard,1.85,75.0,USA,USA,1948-02-18,3.0,,4.7,2.7,1.0,3.3,30.0,,,,0.7,0.7,100.0,1.3,0.7,,,,5.0,1.6,0.0,0.0,0.8,0.0,,,,0.0,0.0,0.0,0.0,0.2,,,,0.0,26.0,,25.6,42.3,,79.3,5.0,6.9,,,,0,0,0,0,0,
50,51,Austin Carr,Cleveland Cavaliers,Cleveland Cavaliers,/stats/player/76348/,Notre Dame,23.3,College,1971,1,Guard,1.93,91.0,USA,USA,1948-03-10,682.0,,28.8,15.4,6.4,14.2,44.9,0.0,,,2.6,3.2,80.4,2.9,2.8,0.8,0.1,1.6,18.0,23.6,11.8,4.8,11.3,42.6,,,,2.1,3.1,69.1,2.3,2.3,0.6,0.3,2.0,1.0,29.0,,38.0,51.7,,81.1,7.4,,,,,0,0,0,0,0,
51,52,Sidney Wicks,Portland Trail Blazers,Portland Trail Blazers,/stats/player/78520/,California-Los Angeles,21.8,College,1971,2,Forward,2.03,102.0,USA,USA,1949-09-19,760.0,,33.9,16.8,6.6,14.5,45.9,0.0,,,3.6,5.2,68.5,8.7,3.2,1.0,0.7,2.4,9.0,29.0,13.1,4.7,9.0,51.9,,,,3.8,5.2,72.3,9.2,1.8,1.4,0.3,,4.0,30.0,,21.3,52.4,,66.1,12.8,,,,,0,0,0,0,0,
52,53,Elmore Smith,Buffalo Braves,Los Angeles Clippers,/stats/player/78188/,Kentucky State,22.2,College,1971,3,Center,2.13,109.0,USA,USA,1949-05-09,562.0,,31.8,13.4,5.6,11.7,48.2,,,,2.1,3.7,57.9,10.6,1.4,0.8,2.9,1.7,13.0,29.8,15.8,6.6,13.2,50.0,,,,2.6,4.0,65.4,9.1,0.6,1.3,1.9,2.5,0.0,33.0,,25.5,59.2,,55.2,24.2,,,,,0,0,0,0,0,
53,54,Ken Durrett,Cincinnati Royals,Sacramento Kings,/stats/player/76622/,La Salle,22.6,College,1971,4,Forward,2.00,86.0,USA,USA,1948-12-08,120.0,,10.0,4.0,1.6,3.7,43.4,,,,0.8,1.3,63.7,1.9,0.5,0.2,0.1,,0.0,,,,,,,,,,,,,,,,,0.0,21.0,,27.0,48.0,,76.7,12.0,,,,,0,0,0,0,0,
54,55,George Trapp,Atlanta Hawks,Atlanta Hawks,/stats/player/78366/,Long Beach State,23.0,College,1971,5,Forward,2.03,93.0,USA,USA,1948-07-11,379.0,,18.1,8.8,3.7,8.4,44.4,,,,1.4,1.8,75.2,3.9,1.0,0.5,0.3,,31.0,16.7,8.3,3.7,8.0,46.2,,,,0.9,1.3,70.0,3.8,0.7,0.2,0.5,,0.0,26.0,,18.8,52.9,,68.7,11.0,,,,,0,0,0,0,0,
55,56,Fred Brown,Seattle SuperSonics,Oklahoma City Thunder,/stats/player/76272/,Iowa,22.9,College,1971,6,Guard,1.90,82.0,USA,USA,1948-08-07,963.0,4.0,25.4,14.6,6.2,13.1,47.8,0.1,,,2.0,2.3,85.8,2.7,3.3,1.4,0.2,1.6,83.0,23.1,14.4,6.0,13.0,46.1,0.2,,,2.2,2.7,81.9,2.4,2.3,0.9,0.1,1.2,1.0,24.0,,27.6,50.1,,82.9,4.6,,,,,0,0,0,0,0,
56,57,Cliff Meely,Houston Rockets,Houston Rockets,/stats/player/77570/,Colorado,24.0,College,1971,7,Forward,2.03,98.0,USA,USA,1947-07-10,318.0,,19.9,8.4,3.5,8.4,41.7,,,,1.3,1.9,67.5,5.4,1.3,0.6,0.7,,0.0,,,,,,,,,,,,,,,,,0.0,26.0,,28.9,49.8,,69.6,11.6,,,,,0,0,0,0,0,
57,58,Darnell Hillman,Golden State Warriors,Golden State Warriors,/stats/player/77028/,San Jose State,21.8,International League,1971,8,Forward,2.05,98.0,USA,USA,1949-08-29,287.0,,23.0,8.6,3.5,7.4,46.6,0.0,,,1.7,2.9,59.2,6.6,1.4,0.8,1.0,1.8,18.0,20.7,5.7,2.3,6.2,36.9,,,,1.1,1.8,62.5,6.3,1.4,0.6,0.6,1.9,0.0,4.0,,19.0,,,,,,,,,0,0,0,0,0,
58,59,Stan Love,Baltimore Bullets,Washington Wizards,/stats/player/77413/,Oregon,22.2,College,1971,9,Forward,2.05,98.0,USA,USA,1949-04-09,227.0,,15.2,6.8,2.8,6.4,44.0,,,,1.2,1.6,75.1,4.0,0.8,0.5,0.4,,7.0,4.3,1.1,0.4,1.4,30.0,,,,0.3,0.4,66.7,1.4,0.3,0.5,0.0,,0.0,26.0,,24.6,51.8,,77.5,11.3,,,,,0,0,0,0,0,
