ID,Player Name,Drafting Team,NBA profile,College / High School,Draft Year,Pick N°,Position,Nationality,Birthdate,GP,GS,MPG,PPG,FGA,FGM,FG%,3PM,3PA,3P%,FTM,FTA,FT%,RPG,APG,SPG,BPG,TOPG,PO GP,PO MPG,PO PPG,PO FGM,PO FGA,PO FG%,PO 3PM,PO 3PA,PO 3P%,PO FTM,PO FTA,PO FT%,PO RPG,PO APG,PO SPG,PO BPG,PO TOPG,All-Star Games,CO GP,CO MPG,CO PPG,CO FG%,CO 3P%,CO FT%,CO RPG,CO APG,CO SPG,CO BPG,CO TOPG,MVP Awards,All-NBA Selections,All-Defensive selections,Finals MVP Awards,Hall of Fame Inductee,Height,Weight,League before Draft,Reason no stats
15,John Hummer,Buffalo Braves,/stats/player/77080/,Princeton,1970,15,| Forward,USA,"May 04, 1948",327,,22.7,6.9,2.7,6.1,43.8,-0,-0,-0,1.5,2.9,52.4,5.3,1.7,0.3,0.3,-0,9,9.3,0.4,0.2,1.1,20.0,-0,-0,-0,0.0,0.0,0.0,1.1,0.4,0.2,0.0,-0,0,25,NaN,17.5,49.2,NaN,64.1,9.5,N/A,NaN,NaN,NaN,0,0,0,0,0,(2.05m),(104kg),College,
16,Gary Freeman,Milwaukee Bucks,/stats/player/76755/,Oregon State,1970,16,| Forward,USA,"Jul 25, 1948",52,,7.3,3.2,1.3,2.6,51.5,-0,-0,-0,0.6,0.8,72.5,2.0,0.7,-0,-0,-0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,20,NaN,14.6,52.7,NaN,80.8,9.0,N/A,NaN,NaN,NaN,0,0,0,0,0,(2.05m),(95kg),College,
17,Mike Price,New York Knicks,/stats/player/77884/,Illinois,1970,17,| Guard,USA,"Sep 11, 1948",119,,8.8,3.3,1.3,3.3,40.4,-0,-0,-0,0.6,0.8,77.2,1.3,0.7,-0,-0,-0,8,3.3,1.5,0.5,1.4,36.4,-0,-0,-0,0.5,0.8,66.7,0.6,0.6,-0,-0,-0,0,24,NaN,14.9,44.9,NaN,82.4,9.2,N/A,NaN,NaN,NaN,0,0,0,0,0,(1.90m),(91kg),College,
18,Calvin Murphy,San Diego Rockets,/stats/player/77669/,Niagara,1970,18,| Guard,USA,"May 09, 1948",1002,0,30.5,17.9,7.2,15.0,48.2,0.0,-0,-0,3.4,3.9,89.2,2.1,4.4,1.5,0.1,1.9,51,32.5,18.5,7.6,16.0,47.5,0.1,-0,-0,3.2,3.5,93.2,1.5,4.2,1.5,0.1,2.1,1,29,NaN,29.4,45.7,NaN,88.1,3.6,N/A,NaN,NaN,NaN,1 Hall of Fame Inductee,0,0,0,0,(1.76m),(75kg),College,
19,Nate Archibald,Cincinnati Royals,/stats/player/76054/,Texas-El Paso,1970,19,| Guard,USA,"Sep 02, 1948",876,758,35.6,18.8,6.7,14.4,46.7,0.0,-0,-0,5.3,6.6,81.0,2.3,7.4,1.1,0.1,2.7,47,32.0,14.2,5.0,11.8,42.3,0.0,-0,-0,4.1,5.0,82.6,1.6,6.5,0.7,0.0,3.0,6,25,NaN,21.4,51.3,NaN,78.2,2.6,N/A,NaN,NaN,NaN,5 All-NBA,1 Hall of Fame Inductee,0,0,0,(1.85m),(73kg),College,
20,Jake Ford,Seattle SuperSonics,/stats/player/76735/,Maryland,1970,20,| Guard,USA,"Apr 29, 1946",31,,8.0,4.1,1.4,2.9,46.2,-0,-0,-0,1.4,1.8,76.4,0.6,1.1,-0,-0,-0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,25,NaN,20.4,55.6,NaN,88.7,8.3,N/A,NaN,NaN,NaN,0,0,0,0,0,(1.93m),(84kg),College,
21,Rex Morgan,Boston Celtics,/stats/player/77641/,Jacksonville,1970,21,| Guard,USA,"Oct 27, 1948",62,,6.7,2.8,0.9,2.5,37.5,-0,-0,-0,0.9,1.4,68.2,1.5,0.6,-0,-0,-0,4,2.5,0.8,0.3,1.8,14.3,-0,-0,-0,0.3,0.8,33.3,1.3,0.0,-0,-0,-0,0,28,NaN,18.2,51.0,NaN,73.2,6.4,N/A,NaN,NaN,NaN,0,0,0,0,0,(1.96m),(86kg),College,
22,Doug Cook,Cincinnati Royals,https://www.thedraftreview.com/index.php?option=com_content&view=article&id=729:doug-cook&catid=68&Itemid=342,Davidson,1970,22,Forward,American,N/A,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,27,NaN,15.6,50.0,NaN,63.0,10.2,2.0,NaN,NaN,NaN,0,0,0,0,0,(1.98m),(100kg),College,
23,Pete Cross,Seattle SuperSonics,/stats/player/76477/,San Francisco,1970,23,| Center,USA,"Mar 28, 1948",182,,20.7,5.8,2.2,5.1,43.1,-0,-0,-0,1.4,2.0,69.5,8.3,1.0,-0,-0,-0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,26,NaN,21.3,46.8,NaN,75.1,18.0,N/A,NaN,NaN,NaN,0,0,0,0,0,(2.05m),(104kg),College,
24,Cornell Warner,Buffalo Braves,/stats/player/78460/,Jackson State,1970,24,| Forward,USA,"Aug 12, 1948",445,,23.6,6.4,2.7,5.9,45.2,-0,-0,-0,1.1,1.6,67.2,7.5,1.1,0.5,0.6,-0,21,26.7,5.8,2.6,5.9,43.9,-0,-0,-0,0.6,0.9,68.4,8.2,1.2,0.4,0.7,-0,0,31,NaN,23.0,52.0,NaN,64.0,21.6,N/A,NaN,NaN,NaN,0,0,0,0,0,(2.05m),(100kg),College,
25,Walt Gilmore,Portland Trail Blazers,/stats/player/76817/,Fort Valley State,1970,25,| Forward,USA,"Feb 27, 1947",27,,9.7,2.1,0.9,2.0,42.6,-0,-0,-0,0.4,1.0,46.2,2.7,0.4,-0,-0,-0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,21,NaN,23.2,73.9,NaN,61.8,15.2,N/A,NaN,NaN,NaN,0,0,0,0,0,(1.98m),(102kg),College,
26,Dave Sorenson,Cleveland Cavaliers,/stats/player/78220/,Ohio State,1970,26,| Forward,USA,"Jul 08, 1948",213,,18.1,8.1,3.2,7.3,44.2,-0,-0,-0,1.7,2.1,77.8,4.7,1.3,-0,-0,-0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,24,NaN,24.2,55.3,NaN,83.3,9.0,N/A,NaN,NaN,NaN,0,0,0,0,0,(2.03m),(102kg),College,
27,Fred Taylor,Phoenix Suns,/stats/player/78298/,Texas-Pan American,1970,27,| Guard,USA,"Feb 05, 1948",88,,9.5,4.4,1.7,4.6,36.4,-0,-0,-0,1.1,1.8,59.2,1.6,0.8,-0,-0,-0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,24,NaN,27.9,45.6,NaN,71.1,11.3,2.6,NaN,NaN,NaN,0,0,0,0,0,(1.96m),(82kg),College,
28,Paul Ruffner,Chicago Bulls,/stats/player/78039/,Brigham Young,1970,28,| Center,USA,"Oct 15, 1948",52,,4.1,2.1,0.9,2.1,44.0,-0,-0,-0,0.3,0.5,50.0,0.9,0.2,0.1,0.1,-0,2,3.5,0.0,0.0,3.0,0.0,-0,-0,-0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-0,0,26,NaN,17.7,47.6,NaN,69.1,9.8,N/A,NaN,NaN,NaN,0,0,0,0,0,(2.08m),(102kg),College,
29,Joe DePre,Phoenix Suns,https://www.thedraftreview.com/index.php?option=com_content&view=article&id=760:joe-depre&catid=68&Itemid=342,St. John's (NY),1970,29,Guard,American,12/19/1947,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,29,NaN,16.5,48.2,NaN,80.6,5.7,N/A,NaN,NaN,NaN,0,0,0,0,0,(1.90m),(84kg),College,
30,Ernie Killum,Los Angeles Lakers,/stats/player/77257/,Stetson,1970,30,| Guard,USA,"Jun 11, 1948",4,,3.0,0.3,0.0,1.0,0.0,-0,-0,-0,0.3,0.3,100,0.5,0.0,-0,-0,-0,2,2.0,2.0,0.5,0.5,100,-0,-0,-0,1.0,1.5,66.7,0.0,0.0,-0,-0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,,,,
31,Dan Hester,Atlanta Hawks,https://www.thedraftreview.com/index.php?option=com_content&view=article&id=770:dan-hester&catid=68&Itemid=342,Louisiana State,1970,31,Forward,American,11/8/1948,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,32,NaN,16.1,51.9,NaN,82.6,10.8,N/A,NaN,NaN,NaN,0,0,0,0,0,(2.03m),(95kg),College,
32,Ken Warzynski,Detroit Pistons,https://www.thedraftreview.com/index.php?option=com_content&view=article&id=772:ken-warzynski&catid=68&Itemid=342,DePaul,1970,32,Forward,American,6/30/1948 - 1/18/2019,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,25,NaN,19.6,47.0,NaN,67.0,15.0,N/A,NaN,NaN,NaN,0,0,0,0,0,(2.00m),(97kg),College,
33,Bill Zopf,Milwaukee Bucks,/stats/player/78648/,Duquesne,1970,33,| Guard,USA,"Jun 07, 1948",53,,7.5,2.2,0.9,2.5,36.3,-0,-0,-0,0.4,0.7,55.6,0.9,1.4,-0,-0,-0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,24,NaN,13.3,48.3,NaN,81.1,4.3,N/A,NaN,NaN,NaN,0,0,0,0,0,(1.85m),(77kg),College,
34,Howie Wright,New York Knicks,https://www.thedraftreview.com/index.php?option=com_content&view=article&id=780:howie-wright&catid=68&Itemid=342,Austin Peay,1970,34,Guard,American,2/22/1947,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,25,NaN,26.5,44.8,NaN,79.4,7.7,N/A,NaN,NaN,NaN,0,0,0,0,0,(1.90m),(84kg),College,
35,Curtis Perry,San Diego Rockets,/stats/player/77835/,Missouri State,1970,35,| Forward,USA,"Sep 13, 1948",480,,28.5,9.5,4.0,8.7,45.5,-0,-0,-0,1.6,2.3,69.9,8.8,1.9,1.2,0.9,1.4,52,29.7,9.6,4.1,8.7,47.0,-0,-0,-0,1.4,2.1,66.1,8.4,1.4,0.6,0.5,-0,0,28,NaN,24.4,49.5,NaN,62.8,17.1,N/A,NaN,NaN,NaN,0,0,0,0,0,(2.00m),(100kg),College,
36,Earle Higgins,San Francisco Warriors,https://www.thedraftreview.com/index.php?option=com_content&view=article&id=5418:earle-higgins&catid=68&Itemid=342,Eastern Michigan,1970,36,Forward,American,12/30/1946,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,20,NaN,17.2,49.5,NaN,67.5,8.1,2.6,NaN,NaN,NaN,0,0,0,0,0,(2.03m),(88kg),College,
37,Bob St. Pierre,Detroit Pistons,No NBA profile,Hanover,1970,37,Pos Missing,Nationality unknown,Birthdate unknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,,,,
38,Willie Williams,Boston Celtics,/stats/player/78574/,Florida State,1970,38,| Forward,USA,"Jul 28, 1946",25,,4.2,0.9,0.4,1.7,23.8,-0,-0,-0,0.1,0.2,60.0,0.9,0.3,-0,-0,-0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,26,NaN,16.9,63.6,NaN,64.0,11.0,0.7,NaN,NaN,NaN,0,0,0,0,0,(2.00m),(91kg),College,
39,Greg Hyder,Cincinnati Royals,/stats/player/77091/,Eastern New Mexico,1970,39,| Forward,USA,"Jun 21, 1948",77,,17.6,5.4,2.4,5.3,44.7,-0,-0,-0,0.7,0.9,71.8,4.3,0.6,-0,-0,-0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,31,NaN,22.9,55.6,NaN,N/A,12.7,N/A,NaN,NaN,NaN,0,0,0,0,0,(1.98m),(100kg),College,
40,Garfield Heard,Seattle SuperSonics,/stats/player/76985/,Oklahoma,1970,40,| Forward,USA,"May 03, 1948",787,,24.9,8.7,3.6,8.7,41.4,0.0,-0,-0,1.4,2.2,65.4,7.5,1.6,1.3,1.3,1.2,59,30.9,10.2,4.2,10.0,41.9,0.0,-0,-0,1.8,2.8,65.1,9.1,1.6,1.4,1.7,1.2,0,27,NaN,21.7,48.2,NaN,67.4,12.5,N/A,NaN,NaN,NaN,0,0,0,0,0,(1.98m),(99kg),College,
41,Surry Oliver,Cleveland Cavaliers,https://www.thedraftreview.com/index.php?option=com_content&view=article&id=5415:surry-oliver&catid=68&Itemid=342,Stephen F. Austin,1970,41,Forward,American,N/A,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,30,NaN,14.3,54.4,NaN,73.9,7.2,N/A,NaN,NaN,NaN,0,0,0,0,0,(2.00m),(88kg),College,
42,Bill Cain,Portland Trail Blazers,https://www.thedraftreview.com/index.php?option=com_content&view=article&id=5427:bill-cain&catid=68&Itemid=342,Iowa State,1970,42,Forward,American,N/A,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,26,NaN,19.8,45.7,NaN,73.1,15.2,N/A,NaN,NaN,NaN,0,0,0,0,0,(1.98m),(95kg),College,
43,Chip Case,Buffalo Braves,https://www.thedraftreview.com/index.php?option=com_content&view=article&id=5409:chip-case&catid=68&Itemid=342,Virginia,1970,43,Guard,American,N/A,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,23,NaN,16.5,42.9,NaN,76.7,5.3,2.8,NaN,NaN,NaN,0,0,0,0,0,(1.93m),(82kg),College,
44,Greg McDivitt,Phoenix Suns,https://www.thedraftreview.com/index.php?option=com_content&view=article&id=5422:greg-mcdivitt&catid=68&Itemid=342,Ohio,1970,44,Forward,American,N/A,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,25,NaN,14.7,42.8,NaN,72.1,9.0,N/A,NaN,NaN,NaN,0,0,0,0,0,(1.98m),,College,
45,Lou Herndon,Chicago Bulls,https://www.thedraftreview.com/index.php?option=com_content&view=article&id=5405:lou-herndon&catid=68&Itemid=342,Jackson State,1970,45,Guard,American,N/A,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,31,NaN,19.0,47.8,NaN,71.5,5.9,N/A,NaN,NaN,NaN,0,0,0,0,0,(1.93m),(84kg),College,
46,Dennis Awtrey,Philadelphia 76ers,/stats/player/76078/,Santa Clara,1970,46,| Center,USA,"Feb 22, 1948",733,228,19.3,4.8,1.9,4.1,45.9,0.0,-0,-0,1.0,1.6,65.2,4.6,2.0,0.4,0.3,1.1,61,16.9,3.9,1.5,2.9,51.4,-0,-0,-0,0.9,1.5,58.5,4.1,1.4,0.4,0.3,0.6,0,29,NaN,21.2,59.0,NaN,72.0,14.1,N/A,NaN,NaN,NaN,0,0,0,0,0,(2.08m),(111kg),College,
47,Jim Hayes,Detroit Pistons,https://www.thedraftreview.com/index.php?option=com_content&view=article&id=5410:jim-hayes&catid=68&Itemid=342,Boston University,1970,47,Guard,American,2/18/1948,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,21,NaN,23.7,54.3,NaN,72.2,7.3,N/A,NaN,NaN,NaN,0,0,0,0,0,(1.90m),(91kg),College,
48,Vann Williford,Phoenix Suns,https://www.thedraftreview.com/index.php?option=com_content&view=article&id=5421:vann-williford&catid=68&Itemid=342,North Carolina State,1970,48,Forward,American,1/26/1948,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,30,NaN,23.7,50.0,NaN,80.0,10.0,N/A,NaN,NaN,NaN,0,0,0,0,0,(1.98m),(88kg),College,
49,Seaburn Hill,Baltimore Bullets,No NBA profile,Arizona State,1970,49,Pos Missing,Nationality unknown,Birthdate unknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,,,,
